категория,ПО,роль,лицензия,тип_затрат,требует_расчета_в_деньгах,примечание
Инфраструктура,Deckhouse (Флант),Kubernetes-платформа,Коммерческая (подписка/поддержка),Да,нужен_расчет,Отечественный дистрибутив K8s; поддержка Флант
Инфраструктура,Kubernetes,оркестрация контейнеров,Apache-2.0 (OSS),Нет (трудозатраты),нет,База под Deckhouse
Инфраструктура,VK Cloud (облако/ВМ/GPU),вычислительные ресурсы,Коммерческая (облако/оборудование),Да,нужен_расчет,Главная статья расходов: ВМ/GPU/хранилище
Инфраструктура,Astra Linux SE,ОС серверов/АРМ,РРПО / ФСТЭК (коммерч.),Да,нужен_расчет,Лицензии ОС и техподдержка
Инфраструктура,Istio,service mesh (mTLS/ingress),Apache-2.0 (OSS),Нет (трудозатраты),нет,Поддержка/настройка
Инфраструктура,Angie (форк nginx),API Gateway/BFF,РРПО (коммерч. поддержка),Да,уточнить,Замена nginx; обязательства для КИИ
Данные,Picodata,основная СУБД (Raft/PG-wire),Коммерческая (ФСТЭК/РРПО),Да,нужен_расчет,Основная СУБД платформы
Данные,Radix (плагин Picodata),кэш (Redis-совместимый),В составе лицензии Picodata,Да,уточнить,Единый вендор с СУБД
Данные,MinIO (или отечеств. S3),объектное хранилище,AGPL-3.0 (OSS) / enterprise,Да,уточнить,Комплаенс AGPL; enterprise/поддержка платная
Данные,PostgreSQL 16 (dev-образ),dev-заменитель Picodata,PostgreSQL License (OSS),Нет,нет,Только в dev-стенде (compose)
Промежуточный слой,NATS JetStream,брокер/очередь,Apache-2.0 (OSS),Нет (трудозатраты),нет,
Промежуточный слой,Redis 7.4 (dev-образ),dev-заменитель Radix,BSD-3 (OSS),Нет,нет,Только в dev-стенде (compose)
Мониторинг,Пульт,сбор метрик (Prometheus-совм.),Отечественная (РРПО),Да,нужен_расчет,Лицензия/поддержка
Мониторинг,Графиня,дашборды/алертинг (Grafana-совм.),Отечественная (РРПО),Да,нужен_расчет,Лицензия/поддержка
Мониторинг,Fluent Bit,сбор логов,Apache-2.0 (OSS),Нет (трудозатраты),нет,
Мониторинг,Prometheus/Grafana (dev-образ),dev-заменитель Пульт/Графини,Apache-2.0 (OSS),Нет,нет,Только в dev-стенде (compose)
Мониторинг,cAdvisor (dev),метрики контейнеров,Apache-2.0 (OSS),Нет,нет,dev-стенд
Безопасность,Kaspersky KUMA,SIEM (аудит ИБ),Коммерческая,Да,нужен_расчет,
Безопасность,MaxPatrol SIEM (альтернатива),SIEM,Коммерческая,уточнить,если_выберут,Если вместо KUMA
Безопасность,Kaspersky Endpoint Security / Dr.Web,антивирус узлов/АРМ,Коммерческая,Да,нужен_расчет,
Безопасность,PAM (отечеств.),привилегированный доступ,Коммерческая,Да,уточнить,
